Humidity: 34.6244 %;Light: 0;Pression: 841 hPasc;Temperature: 18.0543 C
Humidity: 45.6567 %;Light: 0;Pression: 765 hPasc;Temperature: 18.768 C
Humidity: 45.6567 %;Light: 0;Pression: 765 hPasc;Temperature: 18.8599 C
Humidity: 45.3925 %;Light: 0;Pression: 765 hPasc;Temperature: 19.4914 C
Humidity: 45.3925 %;Light: 1;Pression: 765 hPasc;Temperature: 19.6809 C
Humidity: 45.938 %;Light: 1;Pression: 759 hPasc;Temperature: 18.843 C
Humidity: 45.938 %;Light: 1;Pression: 759 hPasc;Temperature: 19.3591 C
Humidity: 44.2557 %;Light: 0;Pression: 759 hPasc;Temperature: 19.0806 C
Humidity: 44.2557 %;Light: 0;Pression: 759 hPasc;Temperature: 18.2297 C
Humidity: 45.7807 %;Light: 0;Pression: 753 hPasc;Temperature: 17.4567 C
Humidity: 45.7807 %;Light: 0;Pression: 753 hPasc;Temperature: 16.8144 C
Humidity: 15.1772 %;Light: 1;Pression: 430 hPasc;Temperature: 19.8478 C
Humidity: 15.1772 %;Light: 1;Pression: 430 hPasc;Temperature: 20.6325 C
Humidity: 13.125 %;Light: 1;Pression: 430 hPasc;Temperature: 19.9035 C
Humidity: 13.125 %;Light: 0;Pression: 430 hPasc;Temperature: 18.8273 C
Humidity: 12.0989 %;Light: 0;Pression: 431 hPasc;Temperature: 20.1154 C
