11/10/2022 16:55:45,18,%
11/10/2022 16:55:47,24,%
11/10/2022 16:55:49,14,%
11/10/2022 16:55:51,20,%
11/10/2022 16:57:37,26,%
11/10/2022 16:57:39,16,%
11/10/2022 16:57:41,22,%
11/10/2022 16:57:43,12,%
11/10/2022 23:18:28,17,%
11/10/2022 23:18:30,24,%
11/10/2022 23:18:32,13,%
11/10/2022 23:18:34,20,%
11/10/2022 23:18:36,26,%
11/10/2022 23:18:38,16,%
11/10/2022 23:18:40,22,%
11/10/2022 23:18:42,12,%
11/10/2022 23:18:45,22,%
11/10/2022 23:30:39,15,%
11/10/2022 23:30:41,22,%
11/10/2022 23:30:43,28,%
11/10/2022 23:30:45,18,%
11/10/2022 23:30:47,24,%
11/10/2022 23:30:49,14,%
11/10/2022 23:30:51,20,%
11/10/2022 23:30:53,27,%
11/10/2022 23:30:55,16,%
12/10/2022 19:16:08,27,%
12/10/2022 19:16:10,16,%
12/10/2022 19:16:12,23,%
12/10/2022 19:16:14,12,%
